survey_id,survey_name,survey_type_name,agency_name,agency_id,ministry_id,start_date,end_date,duration_day,closed,close_year,answer_count,view_count,question_count,n_invited,affects_prachachon,affected_person,tags,isconclude,law_group_id,url
280,การรับฟังความคิดเห็น เลขที่ อกม-3. 43/2563,หลักการ,สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์,236,23,2020-12-27,2021-01-26,30,1,2021,0,388,1,0,0,,,P,19,https://law.go.th/listeningDetail?survey_id=280
281,การรับฟังความคิดเห็นร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายแพ่งและพาณิชย์ (ฉบับที่ ..) พ.ศ. .... (แก้ไขเพิ่มเติมอัตราดอกเบี้ยในกฎหมาย),ร่างกฎหมาย,สำนักงานคณะกรรมการกฤษฎีกา,403,7,2021-01-17,2021-02-16,30,1,2021,0,303,1,0,0,,,O,20,https://law.go.th/listeningDetail?survey_id=281
283,การรับฟังความคิดเห็นเพื่อประกอบการประเมินผลสัมฤทธิ์ของพระราชบัญญัติการฌาปนกิจสงเคราะห์ พ.ศ. 2545,ประเมินผลสัมฤทธิ์,กรมกิจการสตรีและสถาบันครอบครัว,244,8,2021-02-01,2021-02-28,27,1,2021,0,377,1,0,0,,,P,32,https://law.go.th/listeningDetail?survey_id=283
284,การรับฟังความคิดเห็นประกอบร่างพระราชบัญญัติการปฏิบัติราชการทางอิเล็กทรอนิกส์ พ.ศ. ....,ร่างกฎหมาย,สำนักงานคณะกรรมการกฤษฎีกา,403,7,2021-02-28,2021-03-14,14,1,2021,0,452,1,0,0,,,P,5,https://law.go.th/listeningDetail?survey_id=284
285,รับฟังความคิดเห็นร่างพระราชบัญญัติบริษัทมหาชนจำกัด (ฉบับที่ ..) พ.ศ. ....,ร่างกฎหมาย,สำนักงานคณะกรรมการกฤษฎีกา,403,7,2021-03-31,2021-04-16,16,1,2021,0,217,1,0,0,,,O,20,https://law.go.th/listeningDetail?survey_id=285
286,การรับฟังความคิดเห็นร่างพระราชบัญญัติการขนส่งทางราง พ.ศ. ....,ร่างกฎหมาย,กรมการขนส่งทางราง,800,21,2021-03-31,2021-04-19,19,1,2021,0,491,1,0,0,,,P,4,https://law.go.th/listeningDetail?survey_id=286
287,การรับฟังความคิดเห็นหลักการการปรับปรุงแก้ไขสิทธิประโยชน์กองทุนประกันสังคมกรณีชราภาพ,หลักการ,สำนักงานประกันสังคม,141,10,2021-04-01,2021-05-02,31,1,2021,0,3952,1,0,0,,,P,42,https://law.go.th/listeningDetail?survey_id=287
288,ร่างคำแนะนำของคณะกรรมการพัฒนากฎหมาย เรื่อง การกำหนดค่าธรรมเนียมในกฎหมาย,ร่างกฎหมาย,สำนักงานคณะกรรมการกฤษฎีกา,403,7,2021-04-11,2021-05-19,38,1,2021,0,244,1,0,0,,,P,2,https://law.go.th/listeningDetail?survey_id=288
289,การรับฟังความคิดเห็นต่อหลักการของร่างกฎหมาย ครั้งที่ ๑,หลักการ,สำนักงานคณะกรรมการกฤษฎีกา,403,7,2021-04-21,2021-05-11,20,1,2021,0,327,1,0,0,,,P,32,https://law.go.th/listeningDetail?survey_id=289
290,การรับฟังความคิดเห็น เลขที่ อกม-3. 15/2564,หลักการ,สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์,236,23,2021-04-22,2021-05-21,29,1,2021,8,576,2,0,0,,,P,2,https://law.go.th/listeningDetail?survey_id=290
315,การประเมินผลสัมฤทธิ์ของพระราชกำหนด นิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์ พ.ศ. 2540,ประเมินผลสัมฤทธิ์,สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์,236,23,2021-05-19,2021-07-04,45,1,2021,3,727,1,0,0,"ผู้จำหน่ายสินทรัพย์ (originator)  ,ผู้มีสิทธิเสนอโครงการ ,ผู้ออกหุ้นกู้ securitization ,ผู้ลงทุน ","SPV,securitization,นิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์",P,19,https://law.go.th/listeningDetail?survey_id=315
316,การรับฟังความคิดเห็นของประชาชน การแก้ไขเพิ่มเติมกฎหมายที่เกี่ยวข้องกับประโยชน์ทดแทนในกรณีว่างงาน  ตามพระราชบัญญัติประกันสังคม พ.ศ. 2533,หลักการ,สำนักงานประกันสังคม,141,10,2021-06-14,2021-06-29,15,1,2021,49,651,2,0,0,รัฐบาล ผู้ประกันตน,,O,"32,42",https://law.go.th/listeningDetail?survey_id=316
321,การรับฟังความคิดเห็นเพื่อประกอบการประเมินผลสัมฤทธิ์ของพระราชบัญญัติการปฏิรูปที่ดินเพื่อเกษตรกรรม พ.ศ. 2518,ประเมินผลสัมฤทธิ์,สำนักงานการปฏิรูปที่ดินเพื่อเกษตรกรรม,397,18,2021-06-14,2021-06-29,15,1,2021,313,2854,1,0,0,,"ที่ดิน,การปฏิรูปที่ดิน,การปฏิรูปที่ดินเพื่อเกษตรกรรม,สปก,เกษตรกร",P,15,https://law.go.th/listeningDetail?survey_id=321
